sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,length_of_stay,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,not_recidivist
1,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,23,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,3,2,0,1,0,1
1,1,0,0,0,8,71,0,1,0,0
1,0,0,0,0,2,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,9,79,1,0,0,0
1,1,0,0,0,2,358,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,2,25,1,0,0,1
0,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,1,1,0,1,0,1
0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,4,1,1,0,0,1
0,0,0,1,0,23,2,1,0,0,0
1,0,0,0,0,2,1,1,0,0,0
1,0,0,0,0,0,2,1,0,0,1
0,0,0,0,0,0,29,1,0,0,1
0,1,0,0,0,7,1,1,0,0,0
1,0,0,0,0,2,1,1,0,0,1
0,0,0,0,0,1,38,1,0,0,1
1,1,0,0,0,7,0,0,1,0,0
1,0,0,0,0,15,1,1,0,0,1
1,0,0,0,0,2,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,4,1,1,0,0,0
0,0,0,0,0,2,2,1,0,0,1
0,0,0,0,0,5,0,1,0,0,1
1,0,0,0,0,11,223,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,11,129,0,1,0,1
1,0,0,0,0,2,71,0,0,1,1
1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,13,51,1,0,0,0
1,0,0,0,0,0,13,0,1,0,1
1,1,0,0,0,1,3,1,0,0,1
1,0,0,0,2,11,1,1,0,0,0
1,1,0,0,0,1,6,1,0,0,1
1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,4,-1,1,0,0,1
1,1,0,0,0,0,30,1,0,0,0
1,1,0,0,0,0,35,1,0,0,0
1,0,0,1,0,14,1,1,0,0,1
1,1,0,0,0,1,1,0,1,0,1
1,0,0,0,0,25,25,1,0,0,0
1,1,0,0,0,8,4,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,1,1,5,0,0,1,0
0,1,0,0,4,5,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0,2,1,1,0,0,0
1,0,0,0,0,4,0,1,0,0,1
0,0,0,0,0,2,0,1,0,0,1
1,0,0,0,0,0,2,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,3,0,0,1,0
0,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,11,1,1,0,0,0
1,0,0,1,1,3,1,0,0,1,0
0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,0,2,0,1,0,0,1
1,0,0,0,0,3,24,0,1,0,0
1,0,0,0,0,0,41,1,0,0,1
1,1,0,0,0,3,2,1,0,0,1
1,1,0,0,0,1,12,0,1,0,1
1,1,0,0,0,3,14,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,5,1,1,0,0,1
1,0,0,0,0,5,0,1,0,0,1
1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,5,2,1,0,0,0
1,0,0,0,0,6,2,1,0,0,0
1,1,0,0,0,2,1,0,1,0,1
0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,4,11,0,0,1,0
1,1,0,0,0,0,1,0,1,0,1
1,1,0,0,0,5,10,1,0,0,1
0,0,0,0,0,5,-1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,1,1,0,0,0
1,1,0,0,0,3,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,17,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,7,1,1,0,0,1
1,0,0,0,0,0,209,0,0,1,0
1,1,0,0,0,8,68,1,0,0,1
1,0,0,1,0,2,19,0,0,1,0
1,1,0,0,0,36,32,0,1,0,0
1,1,0,0,0,2,1,1,0,0,0
0,0,0,0,0,0,12,1,0,0,1
0,1,0,0,0,2,1,1,0,0,0
1,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,3,1,0,0,1
1,0,0,1,0,12,1,1,0,0,0
1,0,0,0,1,1,1,0,0,1,1
1,0,0,0,0,3,0,0,1,0,1
1,1,0,0,0,0,19,1,0,0,1
1,0,0,2,0,2,1,0,0,1,0
0,1,0,0,2,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,2,2,0,0,1,1
1,0,0,0,1,6,3,1,0,0,0
1,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,3,3,0,1,0,1
1,0,0,0,1,2,50,1,0,0,1
0,1,0,0,0,0,0,0,1,0,1
1,0,2,0,0,3,0,0,0,1,0
1,1,0,0,0,0,1,1,0,0,1
1,0,0,1,0,1,-1,0,0,1,1
1,1,0,0,0,2,0,0,0,1,0
1,0,0,0,0,4,219,0,0,1,0
1,0,0,0,0,0,12,0,0,1,0
1,1,0,0,0,1,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,8,1,0,0,0
1,0,0,0,0,7,127,1,0,0,0
0,1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,4,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1
1,0,1,1,0,6,1,1,0,0,0
1,0,0,0,0,4,260,0,0,1,0
1,1,0,0,0,3,5,0,0,1,1
1,0,0,0,0,23,17,1,0,0,0
1,0,0,0,0,2,5,1,0,0,1
1,0,0,0,0,2,0,0,1,0,1
1,0,0,0,0,7,1,1,0,0,1
1,1,1,0,0,23,360,0,1,0,0
0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,12,31,1,0,0,0
1,0,0,0,0,5,51,1,0,0,1
1,1,0,0,0,3,0,1,0,0,1
1,0,0,0,0,14,0,1,0,0,0
1,0,1,0,0,2,1,1,0,0,1
1,0,0,0,1,0,21,0,0,1,0
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,5,12,0,1,0,1
1,0,0,0,0,9,52,1,0,0,0
1,1,0,0,0,4,7,0,1,0,0
1,0,0,0,0,3,1,1,0,0,1
0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,11,110,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,1,1
0,1,0,0,0,2,1,0,1,0,1
1,0,0,0,0,7,1,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,8,3,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,5,1,0,0,0
1,0,0,0,0,21,59,0,1,0,0
1,0,0,0,0,3,106,0,0,1,1
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,25,0,1,0,0
1,1,0,0,0,3,-1,1,0,0,1
1,0,0,0,0,3,33,1,0,0,1
1,1,0,1,1,3,0,0,0,1,0
1,1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,2,0,1,0,0,1
0,0,0,0,0,3,1,0,0,1,0
1,1,0,0,1,1,32,0,0,1,0
1,1,0,0,0,2,0,1,0,0,1
0,1,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,1,0,0,1
1,0,1,0,1,1,1,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0
1,1,0,0,0,4,1,0,1,0,1
0,0,0,0,0,3,-1,0,1,0,1
1,0,0,0,0,1,4,1,0,0,1
1,0,0,0,0,5,1,1,0,0,1
1,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,2,9,0,1,0,0
1,1,0,0,0,0,3,1,0,0,0
1,0,0,0,0,13,1,1,0,0,0
1,0,0,0,0,1,13,1,0,0,0
1,0,0,0,0,3,1,1,0,0,0
1,1,0,0,0,6,1,0,1,0,0
1,1,0,0,0,1,4,1,0,0,0
1,0,0,0,0,5,118,0,1,0,0
1,0,1,1,0,10,0,1,0,0,0
1,0,0,0,0,5,1,1,0,0,1
1,1,0,0,0,2,3,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1
1,0,1,2,2,6,0,0,0,1,1
1,0,0,0,0,28,5,0,1,0,0
1,0,0,0,1,8,10,1,0,0,0
0,0,1,0,0,6,26,0,0,1,0
1,0,0,0,0,2,0,0,1,0,1
1,0,0,0,0,12,3,0,1,0,0
1,1,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,2,0,0,1,0
1,1,0,0,0,0,35,0,1,0,1
1,1,0,0,0,3,6,1,0,0,1
1,1,0,0,0,3,0,0,1,0,1
1,1,0,0,0,4,1,1,0,0,0
1,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,1,0,0,1,0,0
0,1,0,0,1,6,3,0,0,1,0
1,1,0,0,4,2,8,0,0,1,0
1,0,0,0,0,1,1,1,0,0,1
0,1,0,0,0,0,1,1,0,0,1
1,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,4,8,1,0,0,0
0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1
1,1,0,0,0,1,1,1,0,0,0
1,0,0,0,0,33,13,0,1,0,0
1,1,0,0,0,2,0,1,0,0,1
1,1,0,0,0,1,1,0,1,0,1
1,1,0,0,0,1,74,1,0,0,1
1,1,0,0,0,4,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,2,0,1,0,0,1
0,0,0,0,0,6,52,1,0,0,1
1,0,0,0,0,10,127,0,1,0,0
1,0,0,0,0,5,2,1,0,0,0
1,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,1,129,0,1,0,0
1,0,0,0,0,4,1,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,4,5,1,0,0,0
1,1,0,0,0,0,15,0,0,1,1
1,1,0,0,0,0,1,0,0,1,1
1,1,0,1,3,6,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1
1,0,0,1,0,6,4,1,0,0,0
1,1,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,-1,0,0,1,0
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,2,1,0,0,1
1,0,0,0,0,14,1,1,0,0,0
1,1,0,0,1,9,10,0,0,1,0
1,1,0,0,0,1,0,0,1,0,1
1,0,0,0,0,5,1,1,0,0,0
1,1,0,0,0,2,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1
1,1,0,0,0,2,0,0,0,1,1
1,0,0,0,0,8,1,1,0,0,1
1,0,0,0,0,6,144,0,1,0,1
1,0,0,0,1,3,1,1,0,0,1
1,0,0,0,0,3,3,1,0,0,0
1,0,0,2,0,3,-1,0,0,1,0
1,1,0,0,0,1,5,0,1,0,1
1,0,0,1,0,3,7,0,0,1,0
1,0,0,0,0,3,0,0,1,0,1
1,0,0,0,0,0,9,1,0,0,1
1,1,0,0,0,1,6,1,0,0,1
1,0,8,0,1,16,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,2,12,1,0,0,0
1,1,0,0,0,5,0,1,0,0,1
1,0,0,0,0,5,64,1,0,0,0
1,1,0,0,0,11,180,1,0,0,1
0,0,0,0,0,6,1,1,0,0,0
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,15,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,2,0,0,1,0,0
1,1,0,0,0,5,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,5,1,1,0,0,0
0,1,0,0,0,0,-1,0,0,1,1
1,1,0,0,0,1,9,0,0,1,1
1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,2,0,0,1,1
1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,1,0,0,0,0,1,1
1,0,1,0,0,1,0,0,0,1,1
1,0,0,0,0,3,19,1,0,0,0
1,0,0,0,0,3,6,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,11,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,0,1,0,0,1
1,1,0,0,0,6,34,1,0,0,0
0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,2,1,1,0,0,1
1,0,0,0,0,5,1,1,0,0,0
1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,4,31,1,0,0,0
1,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,2,25,1,0,0,0
1,0,0,0,0,10,0,1,0,0,1
1,0,0,0,0,9,3,0,1,0,0
0,1,0,0,0,3,5,0,0,1,1
0,0,0,0,0,0,7,0,0,1,1
0,1,0,0,0,2,22,0,0,1,0
1,0,0,0,0,1,-1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,15,1,0,1,0,0
1,0,0,1,1,4,2,0,0,1,0
1,1,0,0,0,3,1,1,0,0,0
1,1,0,0,0,5,1,1,0,0,1
1,1,0,0,0,1,1,1,0,0,1
1,1,0,2,0,3,9,0,0,1,0
1,0,0,0,0,0,1,1,0,0,1
1,0,0,2,1,18,0,1,0,0,0
0,1,0,0,0,0,-1,1,0,0,0
0,0,0,0,0,4,1,0,1,0,0
0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,2,1,0,0,1
1,0,0,0,0,8,1,1,0,0,0
0,0,0,0,0,10,0,1,0,0,1
0,1,0,0,0,1,1,0,1,0,1
1,1,0,0,0,2,4,1,0,0,0
1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0,13,2,1,0,0,0
1,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,23,55,1,0,0,0
1,0,0,0,0,20,1,0,1,0,1
1,0,0,1,0,3,0,0,0,1,1
1,0,0,0,1,1,79,1,0,0,0
1,0,0,0,0,2,5,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,0,0,1
1,1,0,0,0,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,11,1,1,0,0,1
0,0,0,0,0,0,-1,1,0,0,1
0,1,0,0,0,2,29,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,17,6,0,1,0,0
1,0,0,0,1,3,323,0,0,1,1
0,1,0,0,0,0,0,1,0,0,1
0,1,0,0,1,15,3,1,0,0,0
1,0,0,0,1,2,80,0,0,1,0
1,0,0,0,0,3,0,1,0,0,1
1,1,0,0,0,3,0,0,1,0,0
1,0,0,0,0,5,6,1,0,0,1
1,0,0,1,0,4,2,1,0,0,1
1,0,0,0,0,14,1,1,0,0,0
1,1,0,0,0,2,0,0,1,0,1
1,0,0,0,0,3,1,1,0,0,0
1,1,0,0,0,2,2,0,1,0,0
1,0,0,0,0,20,33,0,1,0,0
1,0,0,0,0,2,6,1,0,0,1
1,0,0,0,0,1,1,0,0,1,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,6,1,1,0,0,1
1,0,0,0,0,10,5,1,0,0,0
1,0,0,1,0,10,0,1,0,0,0
1,1,0,0,0,1,1,1,0,0,1
0,1,0,0,0,9,384,0,1,0,0
1,1,0,0,0,1,6,0,1,0,1
1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,2,19,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,18,248,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,1,1
1,1,0,0,0,1,16,1,0,0,0
1,1,0,0,0,0,2,0,1,0,1
1,1,0,0,0,0,-1,1,0,0,0
1,1,0,0,0,0,1,0,0,1,1
1,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,3,0,1,0,1
1,1,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,1,0,1,0,0,1
1,1,0,1,1,1,1,0,0,1,0
1,0,0,0,0,0,2,0,1,0,0
0,0,0,0,0,4,0,1,0,0,0
1,0,0,0,0,2,1,0,1,0,1
1,0,0,0,1,6,8,0,0,1,0
1,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,11,2,0,1,0,1
1,0,0,1,0,10,2,1,0,0,0
1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,2,0,0,1,1
1,1,0,0,0,22,3,1,0,0,0
1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0,1,0,1
1,0,0,1,1,7,0,1,0,0,0
0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,8,24,0,1,0,1
1,0,0,4,0,10,40,1,0,0,1
0,0,0,0,0,0,37,1,0,0,1
1,0,0,0,2,0,7,0,0,1,0
0,0,0,0,0,3,0,1,0,0,1
1,0,0,0,0,2,1,0,0,1,0
1,0,0,0,0,4,83,1,0,0,0
0,0,0,0,0,19,30,0,1,0,0
0,1,0,0,0,1,17,0,0,1,0
0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,5,22,1,0,0,0
1,0,0,0,0,6,6,1,0,0,1
1,0,0,0,0,4,0,1,0,0,0
1,0,0,0,0,1,3,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,8,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,-1,0,1,0,1
1,0,0,0,0,4,1,1,0,0,1
0,0,0,0,0,4,2,1,0,0,1
1,1,0,0,0,1,1,0,0,1,0
1,1,0,2,1,2,5,0,0,1,0
1,1,0,0,0,0,2,0,0,1,0
1,0,0,0,0,11,140,0,1,0,1
1,1,0,0,0,0,11,0,1,0,1
0,0,0,0,0,3,28,1,0,0,1
1,1,0,0,0,0,5,1,0,0,1
1,0,0,1,0,1,4,0,0,1,0
1,1,0,0,0,2,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,22,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,1
1,1,0,0,2,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1
1,1,0,0,0,2,0,1,0,0,1
1,0,0,0,0,3,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,17,4,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,7,1,1,0,0,1
1,0,0,0,1,0,0,0,0,1,1
1,1,0,0,0,8,2,1,0,0,1
1,0,0,0,0,14,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,5,5,1,0,0,0
1,0,0,1,0,16,17,1,0,0,1
1,1,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,2,0,0,1,0,1
1,0,0,0,0,3,2,1,0,0,0
0,0,0,0,0,1,1,0,0,1,1
1,1,0,0,0,2,0,1,0,0,1
1,0,0,0,0,13,5,1,0,0,0
1,0,1,0,0,20,1,1,0,0,1
1,0,0,1,1,3,0,1,0,0,0
1,0,1,0,0,25,6,0,1,0,0
1,0,0,0,1,1,1,0,0,1,0
1,0,1,0,0,9,38,0,1,0,0
1,1,0,0,0,5,35,1,0,0,0
1,0,0,0,0,4,27,0,1,0,0
1,0,0,0,0,4,1,1,0,0,1
1,1,0,0,0,4,0,0,1,0,1
1,0,0,0,0,1,5,1,0,0,0
1,0,0,0,0,2,0,1,0,0,1
1,0,0,0,0,6,20,1,0,0,0
1,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,1,0,0,0,1,0
1,1,0,0,0,4,293,1,0,0,0
0,1,0,0,0,1,10,1,0,0,0
1,0,0,0,1,1,2,0,0,1,1
1,0,0,1,1,1,2,0,0,1,0
1,1,0,2,0,3,1,0,0,1,0
1,0,0,1,0,4,1,1,0,0,0
1,1,0,0,0,1,0,0,1,0,1
1,0,0,1,0,5,1,0,0,1,0
1,1,0,0,0,0,-1,1,0,0,1
1,1,0,0,0,0,1,0,1,0,1
1,0,0,1,1,7,1,0,0,1,1
0,1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0,9,1,1,0,0,1
1,0,0,0,0,5,1,1,0,0,0
0,1,0,0,0,1,1,0,0,1,1
1,0,0,0,0,0,9,1,0,0,0
1,0,0,3,0,25,117,1,0,0,0
1,0,0,0,0,0,2,0,0,1,1
1,0,0,0,0,13,1,1,0,0,0
0,0,0,0,0,4,0,1,0,0,1
1,1,0,0,0,0,22,1,0,0,1
0,0,0,0,0,0,2,0,1,0,1
